base_currency,quote_currency,entered_at,exited_at,position,entry,exit,profit_loss,reason_detail,result_detail,take_profit,loss_cut,domain,method,reason_image,result_image
EUR,USD,2025-07-09_01-56,2025-07-11_11-27,short,1.16899,1.16787,207,なし。,なし。,0.999,999,fx,unknown,unknown,unknown
EUR,ZAR,2025-01-14_22-33,2025-01-15_06-48,short,19.38251,19.53489,-1273,1期で直前の谷を更新したのでショートで入る。,その後反発上昇。入るのが早すぎた。ショートであっても、更新確認のために2期は待ったほうがいい。,18.91379,19.53675,fx,unknown,unknown,unknown
USD,MXN,2025-07-15_17-20,2025-07-16_17-20,short,18.69385,18.87963,-4042,B波終わりを狙ってエントリー。月週足PO。今回から少額全力短期トレードに投資戦略を転換,修正波の長さを意識できず、早く入り過ぎた。あと抜け方も欲張った結果伸び切らずに反発し、逃げるタイミングを失って損失が拡大した。,18.27813,19.20485,fx,unknown,unknown,unknown
EUR,JPY,2025-08-04_20-48,2025-08-05_20-48,short,170.632,170.061,22260,c波狙い,なし。,169.864,171.283,fx,unknown,unknown,unknown
EUR,JPY,2025-08-07_21-09,2025-08-08_21-09,short,171.522,171.799,-29150,c波狙いで入る。,根拠が適当すぎた上に、撤退が遅れた。取り扱い金額が増えるほど損切りラインは明確に設定するべき。結局途中で損切れたけど、サンクコストの判定がまだまだ遅い。,169.924,172.214,fx,unknown,unknown,unknown
CAD,JPY,2025-01-03_10-26,2025-01-05_02-15,long,109.316,108.574,-742,ウェッジ。修正波と見て、ロング。,下がりすぎた。トライアングルに下向き要素がある時点でダメかも。,111.62,108.577,fx,unknown,unknown,unknown
EUR,JPY,2024-11-15_09-44,2024-11-15_23-00,long,164.973,163.917,-9504,エリオット。,なし。,166.091,163.919,fx,unknown,unknown,unknown
USD,JPY,2025-01-28_07-17,2025-01-29_07-17,short,154.508,154.832,-324,サポート突破して修正が入ったため、レジスタンス化することにかけてショート。普通にだめなこともあるので、損切り厳し目。,実需筋のドル買いによって反発上昇。やはり、レジスタンスをちゃんと確認したほうがいい。また、上位足近くで取れないと、パワー不足で乙る場合が多い。,148.685,154.817,fx,unknown,unknown,unknown
CAD,JPY,2025-01-16_19-20,2025-01-17_23-42,short,108.257,108.259,-17,ダブルトップで、かつサポートを更新。ショート。,トレンド通りになったが、謎の円安により狩られた。損切りを0円にしていたので損失は最小に抑えた。,106.631,108.77,fx,unknown,unknown,unknown
USD,JPY,2024-12-09_10-42,2024-12-09_21-50,short,150.007,150.81,-803,ダブルトップで日足が下落だったのでショート。,トレンド転換した可能性。,147.472,150.803,fx,unknown,unknown,unknown
GBP,USD,2024-12-31_08-01,2025-01-02_20-33,long,1.25485,1.24767,-1135,トライアングル。1w1dライン付近かつ、反発上昇の事例あり。ロング。,USDが反発下落。アメリカPMI上昇を受けて。,1.27293,1.24767,fx,unknown,unknown,unknown
USD,JPY,2024-12-10_15-31,2024-12-16_23-47,long,151.113,154.313,3237,トライアングル突破してレジスタンスからサポート化したと踏んでロング。,なし。,154.296,149.494,fx,unknown,unknown,unknown
USD,CAD,2024-12-30_17-10,2024-12-30_20-22,long,1.43999,1.43739,-1426,トライアングル突破を予想し、下がったところでエントリー。,予想外に下振れ。,1.4469,1.43744,fx,unknown,unknown,unknown
USD,ZAR,2025-06-26_17-19,2025-07-14_06-46,long,17.6001,17.896,1659,なし。,スワップエグすぎ,999,0.999,fx,unknown,unknown,unknown
USD,ZAR,2025-06-26_11-55,2025-07-14_06-46,long,17.7002,17.896,836,なし。,スワップエグすぎ,999,0.999,fx,unknown,unknown,unknown
USD,ZAR,2024-11-18_22-36,2024-11-18_22-39,short,18.064,18.087,-395,ピボット。,pips換算で値動きが激しすぎる、あと谷が曖昧だった。,17.9787,18.0865,fx,unknown,unknown,unknown
NZD,JPY,2024-12-09_23-40,2024-12-13_23-33,long,88.597,88.526,-52,ピボット。,なし。,91.796,86.956,fx,unknown,unknown,unknown
NZD,JPY,2024-11-18_14-03,2024-11-18_21-28,long,90.616,90.566,-50,ピボット。,なし。,91.634,90.246,fx,unknown,unknown,unknown
USD,JPY,2024-11-18_10-30,2024-11-18_10-38,long,155.046,154.733,-939,ピボット。,なし。,155.583,154.733,fx,unknown,unknown,unknown
NZD,USD,2024-11-20_16-38,2024-11-20_20-20,short,0.5894,0.58765,273,ピボット。,なし。,0.58793,0.59026,fx,unknown,unknown,unknown
GBP,USD,2024-11-22_21-49,2024-11-30_01-01,short,1.25079,1.25264,-286,ピボット。,下落更新。,1.2441,1.25264,fx,unknown,unknown,unknown
USD,JPY,2024-11-01_01-01,2024-11-30_01-01,long,154.73,154.212,-511,ピボット。,機関介入下落と見据え逆張りロングしたが、想定以上に下がった。,156.457,154.212,fx,unknown,unknown,unknown
CHF,JPY,2024-11-18_18-12,2024-11-18_18-34,short,174.555,174.674,-119,ピボット。高値更新したが、そのネックラインの高値と終値にかなり開きがあったため、反発読みでショート。,そんなことなかった。,174.136,174.667,fx,unknown,unknown,unknown
USD,JPY,2024-11-18_23-30,2024-11-30_23-40,long,154.943,154.737,-206,ピボット。損切りを緩和して再エントリー。,謎の下落で狩られた。,156.529,154.744,fx,unknown,unknown,unknown
EUR,USD,2024-11-20_00-25,2024-11-20_00-29,short,1.05737,1.05809,-111,ピボット。髭更新しなかったのでエントリー。,その後更新。反発狙いはやめたほうがいいかも。,1.05484,1.0581,fx,unknown,unknown,unknown
USD,CHF,2025-01-22_16-17,2025-01-30_00-11,short,0.90623,0.90748,-398,ヘッドアンドショルダー。上位足のラインで反発下落したため、トレンド転換とみなしてショート。,一時利益が出たが、戻ってしまった。上位近くないのに入るべきではなかった。,0.84063,0.92007,fx,unknown,unknown,unknown
GBP,USD,2025-01-29_06-27,2025-01-29_19-19,long,1.24413,1.24113,-470,もう一度試す。,上位近くないのに入ったのがそもそも間違いだった,1.28821,1.24117,fx,unknown,unknown,unknown
GBP,JPY,2025-01-17_21-27,2025-01-17_23-41,short,189.518,190.216,-698,下降トレンドで、更新したので入る。,謎の円安で狩られた。同じ決済通貨でポジション持ってもデータ得られないかも。（ただ勝率下げるだけ。）,187.311,190.215,fx,unknown,unknown,unknown
EUR,USD,2025-01-17_01-12,2025-01-19_00-09,short,1.02897,1.03287,-600,下降レンジのためショート。,レンジを突破。トレンド転換したか？,1.01287,1.03287,fx,unknown,unknown,unknown
USD,JPY,2025-01-16_00-41,2025-01-17_23-39,short,156.178,156.18,-130,下落トレンドでサポートが1期更新したため、ショート。損切りが甘く損失が出ているので、以降は早期損切り方針。,トレンド通りになったが、謎の円安により狩られた。損切りを0円にしていたので損失は最小に抑えた。,153.202,157.033,fx,unknown,unknown,unknown
GBP,USD,2025-01-23_11-12,2025-01-24_11-12,short,1.23052,1.2376,-1104,下落レンジで、ネックラインで反発下落。,損切りラインが僅かに前の高値に被っていた。完全な注文ミス。,1.20787,1.23756,fx,unknown,unknown,unknown
NZD,JPY,2025-01-25_05-25,2025-01-27_10-55,long,89.076,88.292,-780,下落レンジでのレジスタンスがサポート化下と判断。,日銀利上げ発表による急落で下落。その後持ち直すのか？,92.094,88.291,fx,unknown,unknown,unknown
EUR,USD,2025-01-16_01-28,2025-01-17_00-09,short,1.02897,1.03287,-600,下落レンジでレジスタンスに到達したので、ショート読み。,普通に外した。,1.01601,1.03287,fx,unknown,unknown,unknown
NZD,JPY,2025-03-04_12-26,2025-03-05_12-26,short,83.662,83.947,-285,完全po、c波狙い。,外れた。,82.621,83.947,fx,unknown,unknown,unknown
USD,CAD,2025-01-31_19-05,2025-01-31_23-24,short,1.44824,1.45175,-375,逆トライアングルのレジスタンス付近に到達。ショート。,外した。上位のレンジから大きく逸脱していて、読めない。,1.43465,1.45175,fx,unknown,unknown,unknown
NZD,JPY,2025-04-04_21-58,2025-04-04_16-04,short,86.507,81.981,4275,月と週が円高トレンドのため、関税ショックがあって乱高下していても戻ると踏んで売り増し。,大当たり。トレンド回帰し、利確。,81.981,87,fx,unknown,unknown,unknown
USD,JPY,2025-03-06_19-03,2025-03-07_22-31,short,147.766,147.957,-221,月はトレンドなし、かつ日と4hでc波エントリー。日足でc波突入を確認し、その上で4hで戻り突破を確定まで待った。\n日足にエリオット当てる必要ある？,早期撤退,143.493,148.98,fx,unknown,unknown,unknown
USD,CHF,2025-03-03_20-08,2025-04-07_15-52,short,0.90133,0.8697,4496,月レンジ、週日でPOショート。レンジの端に来ていたので、実験的に3ヶ月ほど持つつもりで入ってみた。,勝ったが、利確注文ミスでなんか早く抜けてしまった。,0.86969,0.90579,fx,unknown,unknown,unknown
EUR,JPY,2025-02-18_00-12,2025-02-19_00-12,short,158.759,159.006,-322,月以外パーフェクトオーダー。c波狙い。,a波更新してから入るべきだった。しかも日足取引なら月もトレンド揃ってないといけないと思う。色々ミスってる。早目に損切り。,154.782,159.405,fx,unknown,unknown,unknown
NZD,JPY,2025-03-11_12-17,2025-04-04_16-04,short,84.146,83.609,174,実際は高87.263低82.948,他で勝ってるので利確,82.948,87.263,fx,unknown,unknown,unknown
CAD,JPY,2025-01-30_07-08,2025-01-31_07-08,long,107.595,107.443,-308,上位サポート反発\n\n,上位サポートが更新されてしまった,109.242,107.451,fx,unknown,unknown,unknown
AUD,JPY,2025-01-31_18-55,2025-02-03_07-05,long,96.308,95.31,-992,上位のサポートに到達。ロング。,欧州へのトランプ関税の影響で、円買い。最近急落が多く負け続けてる。,98.837,95.556,fx,unknown,unknown,unknown
CAD,JPY,2025-01-28_07-04,2025-01-30_00-33,long,107.592,107.309,-999,上位足の上昇レンジの底に到達したため、反発狙い。,損切りが厳しすぎた。,109.571,106.981,fx,unknown,unknown,unknown
USD,ZAR,2025-01-16_01-25,2025-01-17_18-08,long,18.8087,18.7002,-1023,上昇トライアングルで、1回サポートで反発したため、サポートが機能していると見込んでロング。ただし損切りは厳しく設定。,伸び切らなかったので損切り。まだ損失が大き過ぎるのでもっと絞る。,19.432,18.7004,fx,unknown,unknown,unknown
NZD,USD,2025-01-29_11-20,2025-01-30_07-02,short,0.56592,0.56584,3,上昇トライアングルで下に突破。その後レジスタンスになったと見てエントリー。,上位近くないのに入ってしまったので一旦抜ける。,0.55757,0.56724,fx,unknown,unknown,unknown
EUR,JPY,2025-08-01_18-23,2025-08-02_04-50,short,171.576,170.664,13680,早期利確を目標。,利確逃げ。,170.27,172.588,fx,unknown,unknown,unknown
EUR,JPY,2025-01-11_00-34,2025-01-14_01-20,short,161.736,160.738,974,直前の谷の安値を大幅を更新したため、サポートが破られ、転換と判断。ショート。,予想通り転換が発生。下落のため急な値動き。その後2期で高値更新のため転換リスクを考慮して一度売り抜け。4日下落トレンドかつ上位足がまだ遠いため、次のサポートを破ったらまたショートではいる。,156.166,163.2,fx,unknown,unknown,unknown
GBP,USD,2025-02-11_10-46,2025-02-11_18-06,short,1.23605,1.23698,-141,動画を見て環境認識などを整備。エリオットc波が終値更新したためショート。,上位足見てなかった。,1.23044,1.23698,fx,unknown,unknown,unknown
USD,MXN,2025-08-06_21-58,2025-08-07_21-58,short,18.6763,18.62446,22120,日足で下落に移行したと判断。特殊で、じわじわ上がって連続で一気に下がるを繰り返していたので、それに倣う。,逃げた。,18.36984,18.75808,fx,unknown,unknown,unknown